"Plot_ID","Tree_ID","X","Y","Z","Botanical_Class","Species","Core_Type","Core_Length","Age","DBH","H","TM","P","WD0","WD0w","WDb","WDbw","WS","Scanner_name"
"1100003",1,3.86749,47.10104,409,"Conifer","Picea abies","Peripheral core",150.00301329677,NA,0.331,27.5,11,1166,410,435,357,379,12.9,"GE BrightSpeed Excel"
"1100003",2,3.86749,47.10104,409,"Conifer","Picea abies","Peripheral core",82.3960213883669,NA,0.379,24.6,11,1166,456,462,397,402,12.9,"GE BrightSpeed Excel"
"1100003",7,3.86749,47.10104,409,"Conifer","Picea abies","Pith core",199.651897979504,41,0.372,30,11,1166,421,444,367,387,12.9,"GE BrightSpeed Excel"
"1100003",8,3.86749,47.10104,409,"Conifer","Pseudotsuga menziesii","Peripheral core",78.1705843940917,NA,0.357,29,11,1166,461,463,408,409,11.6,"GE BrightSpeed Excel"
"1100017",4,4.08057,47.16999,632,"Broadleaf","Fagus sylvatica","Peripheral core",79.6755049835671,NA,0.15,13,9.7,1349.7,677,671,560,555,17.3,"GE BrightSpeed Excel"
"1100017",10,4.08057,47.16999,632,"Conifer","Picea abies","Peripheral core",90.8468953769173,NA,0.598,29.7,9.7,1349.7,486,488,423,425,12.9,"GE BrightSpeed Excel"
"1100017",12,4.08057,47.16999,632,"Broadleaf","Quercus robur","Pith core",237.94981893741,151,0.468,24,9.7,1349.7,701,675,610,587,13,"GE BrightSpeed Excel"
"1100017",15,4.08057,47.16999,632,"Broadleaf","Fagus sylvatica","Peripheral core",41.9911445183665,NA,0.095,8.6,9.7,1349.7,633,633,523,523,17.3,"GE BrightSpeed Excel"
"1100017",17,4.08057,47.16999,632,"Broadleaf","Fagus sylvatica","Peripheral core",73.2153289038184,NA,0.331,23,9.7,1349.7,762,761,631,630,17.3,"GE BrightSpeed Excel"
"1100017",19,4.08057,47.16999,632,"Broadleaf","Fagus sylvatica","Pith core",195.958674419043,101,0.414,28,9.7,1349.7,770,772,637,639,17.3,"GE BrightSpeed Excel"
"1100017",22,4.08057,47.16999,632,"Broadleaf","Fagus sylvatica","Peripheral core",77.5221129569842,NA,0.547,23,9.7,1349.7,695,693,575,573,17.3,"GE BrightSpeed Excel"
"1100023",1,1.97874,45.83311,719,"Conifer","Larix kaempferi","Pith core",80.2833028912293,9,0.172,11,9.5,1438.7,457,451,408,403,10.6,"GE BrightSpeed Excel"
"1100023",8,1.97874,45.83311,719,"Conifer","Larix kaempferi","Peripheral core",73.9451473998164,NA,0.118,9.8,9.5,1438.7,449,476,402,425,10.6,"GE BrightSpeed Excel"
"1100023",11,1.97874,45.83311,719,"Conifer","Larix kaempferi","Pith core",53.8743216770091,9,0.15,10.7,9.5,1438.7,477,470,426,420,10.6,"GE BrightSpeed Excel"
"1100023",14,1.97874,45.83311,719,"Conifer","Abies grandis","Peripheral core",32.747136705633,NA,0.08,6.9,9.5,1438.7,351,346,312,308,11,"GE BrightSpeed Excel"
"1100037",1,6.03558,43.55803,340,"Broadleaf","Ulmus minor","Pith core",45.2212325582408,33,0.099,4.2,13.75,797.3,776,796,681,699,12.2,"GE BrightSpeed Excel"
"1100048",1,5.51544,45.10447,1256,"Conifer","Picea abies","Pith core",160.566605782459,77,0.318,17.3,6.65,1423.3,462,450,402,392,12.9,"GE BrightSpeed Excel"
"1100048",2,5.51544,45.10447,1256,"Broadleaf","Fagus sylvatica","Pith core",170.117970100049,97,0.325,18.1,6.65,1423.3,712,720,589,595,17.3,"GE BrightSpeed Excel"
"1100048",3,5.51544,45.10447,1256,"Broadleaf","Fagus sylvatica","Peripheral core",55.9881926911553,NA,0.178,15,6.65,1423.3,646,649,534,536,17.3,"GE BrightSpeed Excel"
"1100048",5,5.51544,45.10447,1256,"Conifer","Abies alba","Peripheral core",71.8324289026788,NA,0.166,10.7,6.65,1423.3,535,536,467,467,12.8,"GE BrightSpeed Excel"
"1100048",6,5.51544,45.10447,1256,"Broadleaf","Acer opalus","Peripheral core",62.448368770904,NA,0.169,9,6.65,1423.3,636,640,558,561,12.3,"GE BrightSpeed Excel"
"1100052",3,4.08939,47.43978,377,"Broadleaf","Quercus petraea","Peripheral core",40.914448505075,NA,0.153,11.4,11,908.4,774,777,673,676,13,"GE BrightSpeed Excel"
"1100052",4,4.08939,47.43978,377,"Broadleaf","Quercus petraea","Peripheral core",45.2212325582408,NA,0.083,9.3,11,908.4,802,831,698,723,13,"GE BrightSpeed Excel"
"1100052",5,4.08939,47.43978,377,"Broadleaf","Quercus petraea","Peripheral core",188.421802326003,NA,0.369,21.4,11,908.4,775,789,674,686,13,"GE BrightSpeed Excel"
"1100052",6,4.08939,47.43978,377,"Broadleaf","Quercus petraea","Pith core",117.359865448768,67,0.245,18.8,11,908.4,766,779,667,678,13,"GE BrightSpeed Excel"
"1100059",1,3.90603,45.71475,818,"Conifer","Abies alba","Peripheral core",57.0433994227155,NA,0.22,15.8,9.2,895.4,465,456,406,398,12.8,"GE BrightSpeed Excel"
"1100059",2,3.90603,45.71475,818,"Broadleaf","Salix caprea","Peripheral core",52.7581046512809,NA,0.111,14.4,9.2,895.4,495,482,438,427,11.5,"GE BrightSpeed Excel"
"1100059",3,3.90603,45.71475,818,"Broadleaf","Acer pseudoplatanus","Peripheral core",50.604712624698,NA,0.086,8.9,9.2,895.4,559,549,490,482,12.3,"GE BrightSpeed Excel"
"1100059",6,3.90603,45.71475,818,"Conifer","Picea abies","Peripheral core",51.7616031798715,NA,0.102,9.2,9.2,895.4,386,376,336,328,12.9,"GE BrightSpeed Excel"
"1100059",7,3.90603,45.71475,818,"Broadleaf","Acer pseudoplatanus","Peripheral core",59.2182807310296,NA,0.169,13,9.2,895.4,657,650,576,570,12.3,"GE BrightSpeed Excel"
"1100059",9,3.90603,45.71475,818,"Conifer","Abies alba","Peripheral core",59.1561179198532,NA,0.411,21,9.2,895.4,465,459,405,400,12.8,"GE BrightSpeed Excel"
"1100059",11,3.90603,45.71475,818,"Conifer","Abies alba","Pith core",122.537672833982,27,0.239,17,9.2,895.4,442,437,385,381,12.8,"GE BrightSpeed Excel"
"1100059",16,3.90603,45.71475,818,"Conifer","Abies alba","Pith core",175.355635262422,30,0.337,18.2,9.2,895.4,405,405,353,353,12.8,"GE BrightSpeed Excel"
"1100059",17,3.90603,45.71475,818,"Broadleaf","Castanea sativa","Peripheral core",46.2979285715323,NA,0.121,14.2,9.2,895.4,624,631,546,551,12.6,"GE BrightSpeed Excel"
"1100061",2,-0.2024,44.00518,130,"Conifer","Pinus pinaster","Pith core",160.566605782459,43,0.411,27.3,13.55,943.8,494,503,423,431,14.4,"GE BrightSpeed Excel"
"1100061",5,-0.2024,44.00518,130,"Broadleaf","Quercus robur","Peripheral core",65.6784568107783,NA,0.204,12.9,13.55,943.8,734,743,639,646,13,"GE BrightSpeed Excel"
"1100061",6,-0.2024,44.00518,130,"Conifer","Pinus pinaster","Peripheral core",41.1980106941834,NA,0.344,28.2,13.55,943.8,660,659,565,564,14.4,"GE BrightSpeed Excel"
"1100061",11,-0.2024,44.00518,130,"Conifer","Pinus pinaster","Pith core",146.833935551064,43,0.439,28.4,13.55,943.8,539,556,462,476,14.4,"GE BrightSpeed Excel"
"1100083",1,6.0054,45.59366,1098,"Broadleaf","Sorbus aria","Peripheral core",36.6076644519092,NA,0.146,11.8,7.75,1465.2,706,702,600,596,15,"GE BrightSpeed Excel"
"1100083",2,6.0054,45.59366,1098,"Broadleaf","Acer opalus","Pith core",157.197617940551,99,0.286,16.4,7.75,1465.2,786,738,690,647,12.3,"GE BrightSpeed Excel"
"1100083",3,6.0054,45.59366,1098,"Broadleaf","Fagus sylvatica","Peripheral core",61.3716727576125,NA,0.462,17.4,7.75,1465.2,685,687,567,568,17.3,"GE BrightSpeed Excel"
"1100083",4,6.0054,45.59366,1098,"Broadleaf","Acer opalus","Peripheral core",36.6076644519092,NA,0.169,12.5,7.75,1465.2,683,680,599,596,12.3,"GE BrightSpeed Excel"
"1100083",6,6.0054,45.59366,1098,"Broadleaf","Acer opalus","Peripheral core",51.6814086379895,NA,0.382,15.8,7.75,1465.2,690,689,605,605,12.3,"GE BrightSpeed Excel"
"1100083",7,6.0054,45.59366,1098,"Broadleaf","Acer campestre","Peripheral core",45.2212325582408,NA,0.111,11,7.75,1465.2,674,670,591,588,12.3,"GE BrightSpeed Excel"
"1100083",9,6.0054,45.59366,1098,"Broadleaf","Sorbus aria","Peripheral core",22.6106162791204,NA,0.226,10,7.75,1465.2,622,632,529,537,15,"GE BrightSpeed Excel"
"1100083",12,6.0054,45.59366,1098,"Broadleaf","Fagus sylvatica","Pith core",120.589953488642,48,0.248,13.2,7.75,1465.2,714,705,591,583,17.3,"GE BrightSpeed Excel"
"1100084",4,-1.12729,43.63774,21,"Broadleaf","Castanea sativa","Peripheral core",39.8377524917836,NA,0.156,15.4,14.25,1288.7,605,596,529,521,12.6,"GE BrightSpeed Excel"
"1100084",10,-1.12729,43.63774,21,"Conifer","Pinus pinaster","Pith core",180.637431505266,49,0.49,27.6,14.25,1288.7,485,496,415,425,14.4,"GE BrightSpeed Excel"
"1100084",15,-1.12729,43.63774,21,"Conifer","Pinus pinaster","Pith core",166.904761273871,51,0.484,28.5,14.25,1288.7,542,535,464,458,14.4,"GE BrightSpeed Excel"
"1100085",5,4.42681,45.22029,1093,"Conifer","Abies alba","Peripheral core",49.6488846827339,NA,0.134,11.3,8.35,1008,523,541,456,472,12.8,"GE BrightSpeed Excel"
"1100085",6,4.42681,45.22029,1093,"Conifer","Abies alba","Peripheral core",39.0852921970458,NA,0.232,20,8.35,1008,582,587,508,512,12.8,"GE BrightSpeed Excel"
"1100085",8,4.42681,45.22029,1093,"Conifer","Abies alba","Pith core",208.102771968055,118,0.392,20.8,8.35,1008,453,466,395,406,12.8,"GE BrightSpeed Excel"
"1100085",11,4.42681,45.22029,1093,"Conifer","Abies alba","Pith core",214.440927459468,108,0.455,23.3,8.35,1008,482,478,421,417,12.8,"GE BrightSpeed Excel"
"1100087",3,3.08427,44.78764,1106,"Broadleaf","Fagus sylvatica","Peripheral core",88.2890730898987,NA,0.468,21,7.75,920.8,737,736,609,609,17.3,"GE BrightSpeed Excel"
"1100087",4,3.08427,44.78764,1106,"Conifer","Abies alba","Pith core",207.046412719486,39,0.379,23,7.75,920.8,352,351,307,306,12.8,"GE BrightSpeed Excel"
"1100087",5,3.08427,44.78764,1106,"Conifer","Picea abies","Pith core",186.975586996679,42,0.312,21,7.75,920.8,399,407,348,354,12.9,"GE BrightSpeed Excel"
"1100087",6,3.08427,44.78764,1106,"Conifer","Abies alba","Peripheral core",99.2977693654678,NA,0.309,19.5,7.75,920.8,418,427,365,372,12.8,"GE BrightSpeed Excel"
"1100087",9,3.08427,44.78764,1106,"Conifer","Pinus sylvestris","Peripheral core",68.6633511569724,NA,0.255,15.7,7.75,920.8,540,543,467,469,13.6,"GE BrightSpeed Excel"
"1100091",2,6.60649,44.90567,1645,"Conifer","Larix decidua","Pith core",212.32820896233,225,0.477,27,6.05,769.4,646,643,566,562,12.5,"GE BrightSpeed Excel"
"1100091",4,6.60649,44.90567,1645,"Conifer","Larix decidua","Peripheral core",76.0578658969541,NA,0.544,24.7,6.05,769.4,634,620,554,543,12.5,"GE BrightSpeed Excel"
"1100091",6,6.60649,44.90567,1645,"Conifer","Larix decidua","Peripheral core",119.368595088275,NA,0.449,25.6,6.05,769.4,579,565,506,495,12.5,"GE BrightSpeed Excel"
"1100093",4,-0.85852,45.03194,39,"Conifer","Pinus pinaster","Pith core",102.466847111174,11,0.181,12.9,13.7,937.4,438,429,375,367,14.4,"GE BrightSpeed Excel"
"1100093",7,-0.85852,45.03194,39,"Conifer","Pinus pinaster","Pith core",111.974080348293,11,0.153,12,13.7,937.4,415,401,355,343,14.4,"GE BrightSpeed Excel"
"1100111",1,6.78295,45.52941,1751,"Conifer","Picea abies","Peripheral core",134.157624568238,NA,0.611,16,6.1,1095.1,391,390,340,340,12.9,"GE BrightSpeed Excel"
"1100111",3,6.78295,45.52941,1751,"Conifer","Picea abies","Peripheral core",72.8887881512476,NA,0.159,12.5,6.1,1095.1,402,405,350,353,12.9,"GE BrightSpeed Excel"
"1100111",5,6.78295,45.52941,1751,"Broadleaf","Salix caprea","Peripheral core",82.9055930234415,NA,0.277,9.8,6.1,1095.1,536,532,474,471,11.5,"GE BrightSpeed Excel"
"1100111",6,6.78295,45.52941,1751,"Conifer","Picea abies","Pith core",305.287822836385,50,0.608,20.8,6.1,1095.1,350,348,305,303,12.9,"GE BrightSpeed Excel"
"1100111",8,6.78295,45.52941,1751,"Conifer","Picea abies","Pith core",215.497286708036,53,0.395,20.8,6.1,1095.1,440,456,383,397,12.9,"GE BrightSpeed Excel"
"1100111",11,6.78295,45.52941,1751,"Conifer","Picea abies","Peripheral core",42.2543699427522,NA,0.306,14,6.1,1095.1,494,499,430,434,12.9,"GE BrightSpeed Excel"
"1100111",13,6.78295,45.52941,1751,"Conifer","Picea abies","Peripheral core",100.354128614037,NA,0.528,19.7,6.1,1095.1,401,405,349,353,12.9,"GE BrightSpeed Excel"
"1100125",2,0.08721,43.61586,156,"Broadleaf","Carpinus betulus","Peripheral core",62.448368770904,NA,0.274,21.4,13.9,888.1,812,815,663,665,18.4,"GE BrightSpeed Excel"
"1100125",3,0.08721,43.61586,156,"Broadleaf","Castanea sativa","Peripheral core",66.7551528240698,NA,0.216,20.4,13.9,888.1,585,588,512,514,12.6,"GE BrightSpeed Excel"
"1100125",5,0.08721,43.61586,156,"Broadleaf","Castanea sativa","Pith core",127.050129568391,38,0.239,19.2,13.9,888.1,582,593,509,518,12.6,"GE BrightSpeed Excel"
"1100125",11,0.08721,43.61586,156,"Broadleaf","Quercus robur","Peripheral core",51.6814086379895,NA,0.076,11,13.9,888.1,687,667,598,580,13,"GE BrightSpeed Excel"
"1100125",13,0.08721,43.61586,156,"Broadleaf","Quercus robur","Peripheral core",72.138632890527,NA,0.216,26.2,13.9,888.1,766,775,667,674,13,"GE BrightSpeed Excel"
"1100125",15,0.08721,43.61586,156,"Broadleaf","Robinia pseudoacacia","Peripheral core",73.2153289038184,NA,0.239,24.1,13.9,888.1,761,764,684,686,10.2,"GE BrightSpeed Excel"
"1100125",16,0.08721,43.61586,156,"Broadleaf","Quercus robur","Pith core",134.587001661431,55,0.35,24.9,13.9,888.1,884,889,769,773,13,"GE BrightSpeed Excel"
"1100125",17,0.08721,43.61586,156,"Broadleaf","Quercus robur","Peripheral core",78.5988089702757,NA,0.385,21.8,13.9,888.1,857,860,745,748,13,"GE BrightSpeed Excel"
"1100135",3,3.66147,45.16007,1171,"Conifer","Abies alba","Peripheral core",78.1705843940917,NA,0.328,12.2,7.75,936.9,447,463,390,404,12.8,"GE BrightSpeed Excel"
"1100135",5,3.66147,45.16007,1171,"Conifer","Picea abies","Pith core",231.342675436569,101,0.455,25,7.75,936.9,498,528,434,460,12.9,"GE BrightSpeed Excel"
"1100135",6,3.66147,45.16007,1171,"Conifer","Picea abies","Pith core",276.766123125027,96,0.5,29.4,7.75,936.9,506,522,440,455,12.9,"GE BrightSpeed Excel"
"1100135",7,3.66147,45.16007,1171,"Broadleaf","Betula pendula","Peripheral core",47.3746245848237,NA,0.095,8,7.75,936.9,580,585,493,497,15,"GE BrightSpeed Excel"
"1100150",1,6.81511,45.29385,1380,"Conifer","Picea abies","Pith core",153.172091042477,56,0.341,13.7,7.15,783,422,429,367,373,12.9,"GE BrightSpeed Excel"
"1100150",5,6.81511,45.29385,1380,"Conifer","Picea abies","Peripheral core",62.3251956655596,NA,0.223,12.8,7.15,783,414,422,360,367,12.9,"GE BrightSpeed Excel"
"1100150",6,6.81511,45.29385,1380,"Conifer","Picea abies","Peripheral core",43.3107291913211,NA,0.108,6.9,7.15,783,445,426,388,371,12.9,"GE BrightSpeed Excel"
"1100150",13,6.81511,45.29385,1380,"Conifer","Pinus sylvestris","Pith core",189.088305493816,57,0.309,12.5,7.15,783,588,588,508,508,13.6,"GE BrightSpeed Excel"
"1100150",17,6.81511,45.29385,1380,"Conifer","Picea abies","Peripheral core",55.9870401741467,NA,0.376,19.7,7.15,783,480,481,418,419,12.9,"GE BrightSpeed Excel"
"1100150",18,6.81511,45.29385,1380,"Conifer","Pinus sylvestris","Peripheral core",45.4234476884587,NA,0.21,11.2,7.15,783,446,446,385,385,13.6,"GE BrightSpeed Excel"
"1100152",2,3.40337,44.29935,982,"Conifer","Pinus sylvestris","Pith core",105.635924856881,46,0.258,14,9.3,939.3,499,496,431,429,13.6,"GE BrightSpeed Excel"
"1100152",6,3.40337,44.29935,982,"Conifer","Pinus sylvestris","Peripheral core",51.7616031798715,NA,0.124,7.3,9.3,939.3,500,508,432,439,13.6,"GE BrightSpeed Excel"
"1100152",8,3.40337,44.29935,982,"Conifer","Pinus sylvestris","Peripheral core",48.5925254341651,NA,0.137,10.9,9.3,939.3,536,522,463,451,13.6,"GE BrightSpeed Excel"
"1100152",14,3.40337,44.29935,982,"Conifer","Pinus sylvestris","Pith core",106.692284105449,45,0.255,14.5,9.3,939.3,507,487,438,421,13.6,"GE BrightSpeed Excel"
"1100157",1,5.0754,49.07601,272,"Conifer","Picea abies","Pith core",135.213983816807,42,0.251,19.7,10.4,981.7,457,478,398,416,12.9,"GE BrightSpeed Excel"
"1100165",5,6.49777,47.01793,792,"Conifer","Picea abies","Peripheral core",86.6214583826421,NA,0.201,20.7,8.4,1496.7,525,544,457,474,12.9,"GE BrightSpeed Excel"
"1100165",8,6.49777,47.01793,792,"Conifer","Abies alba","Peripheral core",43.3107291913211,NA,0.102,5.7,8.4,1496.7,509,536,444,467,12.8,"GE BrightSpeed Excel"
"1100165",9,6.49777,47.01793,792,"Broadleaf","Fagus sylvatica","Peripheral core",49.5280166114066,NA,0.236,19,8.4,1496.7,728,732,602,606,17.3,"GE BrightSpeed Excel"
