"Plot_ID","Tree_ID","Botanical_Class","Species","WS"
806799,1,"Broadleaf","Fraxinus excelsior",15.4
806799,2,"Broadleaf","Fraxinus excelsior",14.4
810850,1,"Broadleaf","Populus tremula",11.5
819381,1,"Conifer","Picea abies",13.9
822095,3,"Broadleaf","Quercus robur",7.2
822095,5,"Broadleaf","Quercus robur",16.5
822095,6,"Broadleaf","Quercus robur",6
843595,1,"Broadleaf","Populus",18.2
843595,2,"Broadleaf","Populus",13.1
854343,1,"Broadleaf","Populus",12.6
854343,2,"Broadleaf","Populus",11.3
856017,1,"Broadleaf","Castanea sativa",11.6
856017,2,"Broadleaf","Fraxinus excelsior",14.1
858365,1,"Conifer","Pseudotsuga menziesii",9.6
858365,2,"Conifer","Pseudotsuga menziesii",8.9
858365,3,"Conifer","Pseudotsuga menziesii",9.4
865131,1,"Broadleaf","Alnus glutinosa",9.2
865131,3,"Broadleaf","Fraxinus excelsior",11.1
865131,4,"Broadleaf","Fraxinus excelsior",11.6
865131,5,"Broadleaf","Fraxinus excelsior",11.8
900018,1,"Broadleaf","Quercus pubescens",25.3
900018,3,"Broadleaf","Quercus pubescens",24
902061,7,"Broadleaf","Castanea sativa",6.5
902061,9,"Broadleaf","Quercus robur",19
902061,11,"Broadleaf","Quercus robur",18.6
902061,15,"Broadleaf","Carpinus betulus",12.4
902061,16,"Broadleaf","Carpinus betulus",22.4
902061,20,"Broadleaf","Carpinus betulus",21.4
903381,1,"Broadleaf","Populus",12.9
903381,2,"Broadleaf","Populus",14.4
904472,1,"Broadleaf","Quercus rubra",17
904472,2,"Broadleaf","Quercus rubra",15.8
906109,1,"Broadleaf","Quercus pubescens",11.8
906109,2,"Broadleaf","Quercus pubescens",10
906109,3,"Broadleaf","Quercus pubescens",9.8
906309,1,"Broadleaf","Populus",24.9
906309,2,"Broadleaf","Populus",13.7
907243,6,"Broadleaf","Prunus avium",13
907243,7,"Broadleaf","Betula pendula",9.7
907243,8,"Broadleaf","Acer platanoides",15.4
907243,11,"Broadleaf","Alnus glutinosa",14.1
908627,3,"Broadleaf","Quercus robur",25.6
908627,4,"Broadleaf","Quercus robur",28.3
908627,5,"Broadleaf","Carpinus betulus",27
908627,6,"Broadleaf","Acer campestre",23.5
908638,1,"Broadleaf","Quercus robur",20.7
908638,4,"Broadleaf","Corylus avellana",16.5
908638,12,"Broadleaf","Ilex aquifolium",18.6
914592,1,"Conifer","Pinus halepensis",18.3
