"Botanical_Class","Species","Rank","N_Cores","Mean","Variance","SD","CV","Mean_Inf","Mean_Sup","Mean_CI95","Mean_Precision","SD_Inf","SD_Sup","SD_CI95","SD_Precision","SW_p","JB_p","Normality"
"Broadleaf","Quercus robur",1,12778,622.5,4429.6,66.6,10.7,621.3,623.6,2.3,"0-5 kg.m-3",65.7,67.4,1.6,"0-5 kg.m-3",4e-04,0,"Rejected"
"Broadleaf","Fagus sylvatica",2,11000,604.1,2093.8,45.8,7.6,603.2,604.9,1.7,"0-5 kg.m-3",45.2,46.4,1.2,"0-5 kg.m-3",0,0,"Rejected"
"Broadleaf","Quercus petraea",3,10818,642.7,4933.9,70.2,10.9,641.3,644,2.6,"0-5 kg.m-3",69.3,71.2,1.9,"0-5 kg.m-3",0.0052,0,"Rejected"
"Broadleaf","Carpinus betulus",4,7593,619.8,1624.9,40.3,6.5,618.9,620.7,1.8,"0-5 kg.m-3",39.7,41,1.3,"0-5 kg.m-3",0,0,"Rejected"
"Broadleaf","Castanea sativa",5,5454,505.3,3251.7,57,11.3,503.8,506.8,3,"0-5 kg.m-3",56,58.1,2.1,"0-5 kg.m-3",0,0,"Rejected"
"Conifer","Abies alba",6,5360,420.6,2108.7,45.9,10.9,419.4,421.8,2.5,"0-5 kg.m-3",45.1,46.8,1.7,"0-5 kg.m-3",0,0,"Rejected"
"Broadleaf","Quercus pubescens",7,5340,704.5,4774.7,69.1,9.8,702.6,706.3,3.7,"0-5 kg.m-3",67.8,70.4,2.6,"0-5 kg.m-3",0,0,"Rejected"
"Broadleaf","Fraxinus excelsior",8,4991,592.3,3252.1,57,9.6,590.7,593.9,3.2,"0-5 kg.m-3",55.9,58.2,2.2,"0-5 kg.m-3",0,0,"Rejected"
"Conifer","Pinus sylvestris",9,4757,457.8,2938.5,54.2,11.8,456.2,459.3,3.1,"0-5 kg.m-3",53.1,55.3,2.2,"0-5 kg.m-3",0,0,"Rejected"
"Conifer","Picea abies",10,4713,393.8,2023.8,45,11.4,392.5,395,2.6,"0-5 kg.m-3",44.1,45.9,1.8,"0-5 kg.m-3",0,0,"Rejected"
