species;individualCount;decimalLatitude;decimalLongitude;eventDate;day;month;year;Site
Coenagrion puella;2;47.747379;-3.067268;17/05/2023;17;5;2023;Com_18160
Ceriagrion tenellum;1;47.72533;-2.846512;31/05/2023;31;5;2023;Com_19997
Calopteryx virgo;1;48.384544;-4.764719;03/05/2026;3;5;2026;Com_3572
Libellula depressa;1;47.603418;-3.056042;04/06/2025;4;6;2025;Com_18325
Onychogomphus uncatus;1;48.340652;-3.831207;23/08/2025;23;8;2025;Com_11531
Pyrrhosoma nymphula;1;47.612789;-2.574509;28/04/2023;28;4;2023;Com_22302
Ceriagrion tenellum;10;47.726192;-2.848079;31/05/2023;31;5;2023;Com_19997
Ischnura elegans;1;48.435813;-2.366867;11/05/2026;11;5;2026;Com_24069
Coenagrion puella;1;47.748959;-3.069532;17/05/2023;17;5;2023;Com_18160
Onychogomphus uncatus;1;48.309197;-3.763343;18/08/2025;18;8;2025;Com_12146
Pyrrhosoma nymphula;1;47.749702;-3.06905;17/05/2023;17;5;2023;Com_18159
Onychogomphus uncatus;1;48.341148;-3.830874;23/08/2025;23;8;2025;Com_11531
Libellula depressa;3;47.640972;-2.743079;16/05/2023;16;5;2023;Com_20922
Coenagrion puella;2;48.1;-3.55;06/05/2026;6;5;2026;Com_13999
Coenagrion puella;1;47.933601;-1.890141;29/05/2026;29;5;2026;Com_28089
Coenagrion puella;3;48.043451;-1.737819;23/05/2023;23;5;2023;Com_29457
Ceriagrion tenellum;1;47.726345;-2.845946;31/05/2023;31;5;2023;Com_19997
Ischnura elegans;1;47.640427;-2.74329;16/05/2023;16;5;2023;Com_20922
Libellula depressa;1;47.640446;-2.743267;16/05/2023;16;5;2023;Com_20922
Calopteryx virgo;1;48.60207;-4.541866;24/05/2026;24;5;2026;Com_5542
Libellula fulva;1;48.045848;-1.736058;23/05/2023;23;5;2023;Com_29457
Libellula depressa;1;47.640636;-2.743488;16/05/2023;16;5;2023;Com_20922
Erythromma viridulum;1;48.174386;-3.769641;04/07/2025;4;7;2025;Com_12157
Coenagrion puella;1;47.929451;-3.414098;24/04/2026;24;4;2026;Com_15238
Pyrrhosoma nymphula;1;47.747334;-3.067224;17/05/2023;17;5;2023;Com_18160
Gomphus vulgatissimus;1;48.217537;-3.160475;03/05/2026;3;5;2026;Com_17356
Coenagrion scitulum;1;47.726933;-2.84869;31/05/2023;31;5;2023;Com_19997
Libellula depressa;2;47.640434;-2.743314;16/05/2023;16;5;2023;Com_20922
Libellula depressa;1;48.062966;-3.911746;27/04/2026;27;4;2026;Com_10942
Ceriagrion tenellum;2;47.726746;-2.849093;31/05/2023;31;5;2023;Com_19997
Coenagrion puella;1;47.905639;-2.178212;11/05/2026;11;5;2026;Com_25644
Pyrrhosoma nymphula;10;48.36459;-3.73046;22/05/2026;22;5;2026;Com_12447
Coenagrion puella;2;47.751263;-3.064988;17/05/2023;17;5;2023;Com_18159
Calopteryx virgo;2;48.217333;-4.375627;26/04/2026;26;4;2026;Com_6952
Coenagrion puella;1;47.749588;-3.069227;17/05/2023;17;5;2023;Com_18159
Pyrrhosoma nymphula;1;47.75135;-3.06486;17/05/2023;17;5;2023;Com_18159
Pyrrhosoma nymphula;6;47.748463;-3.06752;17/05/2023;17;5;2023;Com_18160
Sympetrum fonscolombii;1;48.051533;-4.709611;24/05/2026;24;5;2026;Com_4058
Pyrrhosoma nymphula;2;47.640976;-2.743082;16/05/2023;16;5;2023;Com_20922
Pyrrhosoma nymphula;2;47.749107;-3.069474;17/05/2023;17;5;2023;Com_18160
Orthetrum cancellatum;;47.62885;-3.122239;23/05/2026;23;5;2026;Com_17710
Calopteryx splendens;;48.383605;-1.964208;23/05/2026;23;5;2026;Com_27440
Calopteryx virgo;;48.364075;-4.667883;24/05/2026;24;5;2026;Com_4491
Cordulia aenea;;47.628159;-3.122433;23/05/2026;23;5;2026;Com_17711
Calopteryx virgo;;47.743541;-3.417591;24/05/2026;24;5;2026;Com_15100
Sympetrum sanguineum;;47.628246;-3.122376;23/05/2026;23;5;2026;Com_17711
Erythromma lindenii;;48.389745;-2.000291;23/05/2026;23;5;2026;Com_27133
Calopteryx virgo;;48.034733;-3.102418;21/05/2026;21;5;2026;Com_17830
Calopteryx virgo;;48.034733;-3.102418;21/05/2026;21;5;2026;Com_17830
