Plot;Site;Forest continuity;Geological substrate;Canopy cover;Basal area;DBH;EIV_F;EIV_R;EIV_N;EIV_L
E1;Kerio;Recent;Volcanic;95;41.5;39.3;5.70;5.91;5.62;5.14
E2;Kerio;Recent;Volcanic;80;25;39.1;5.64;6.00;5.76;5.43
E3;Kerio;Recent;Volcanic;80;31.5;31.5;5.90;6.10;5.95;5.70
F1;Kerio;Recent;Volcanic;70;22;44.6;5.48;5.53;5.26;5.45
F2;Kerio;Recent;Volcanic;75;17;48.2;5.54;6.25;5.81;4.72
F3;Kerio;Recent;Volcanic;65;20;43.9;5.75;6.25;5.92;5.12
AV1;Avaugour;Ancient;Granite;90;34.5;48.4;5.59;4.54;4.44;5.49
AV2;Avaugour;Ancient;Granite;85;42.5;41.6;5.71;4.62;4.52;5.33
AV3;Avaugour;Ancient;Granite;85;36;54.5;5.58;4.20;4.26;5.40
AV4;Avaugour;Ancient;Granite;75;28.5;71.3;5.49;4.63;4.40;5.10
AV5;Avaugour;Ancient;Granite;80;29;64.0;5.64;5.18;5.05;5.15
AV6;Avaugour;Ancient;Granite;80;26.5;59.3;5.46;4.57;4.46;5.14
LO1;Lorge;Ancient;Schist;85;41;77.4;5.48;4.67;4.60;5.54
LO2;Lorge;Ancient;Schist;90;37.5;79.3;5.54;4.15;4.05;5.51
LO3;Lorge;Ancient;Schist;80;35;65.5;5.78;5.45;5.45;5.86
LO4;Lorge;Ancient;Schist;95;37;63.4;5.66;4.02;3.95;5.42
LO5;Lorge;Ancient;Schist;80;34.5;47.8;5.38;3.68;3.68;5.70
BM1;Beaumanoir;Ancient;Volcanic;70;25.5;70.8;5.75;4.54;4.50;5.58
BM2;Beaumanoir;Ancient;Volcanic;30;34.5;60.9;5.76;4.45;4.35;5.03
BM3;Beaumanoir;Ancient;Volcanic;75;26;89.3;5.69;4.14;4.10;5.56
CN1;Coat-an-Noz;Ancient;Volcanic;95;42.5;60.8;5.62;4.73;4.48;5.16
CN2;Coat-an-Noz;Ancient;Volcanic;70;20;76.1;5.71;4.57;4.45;5.54
CN3;Coat-an-Noz;Ancient;Volcanic;70;39;61.5;5.56;5.32;4.97;5.43
CN4;Coat-an-Noz;Ancient;Volcanic;95;33.5;64.0;5.48;4.73;4.42;5.11
CN5;Coat-an-Noz;Ancient;Volcanic;90;31.5;57.0;4.07;3.95;3.64;3.77
COR3;Chevré;Ancient;Sandstone;80;20;50.7;5.68;3.35;3.44;5.89
COR2;Chevré;Ancient;Sandstone;60;12;68.1;5.58;4.44;4.41;5.73
COR1;Chevré;Ancient;Sandstone;85;36;73.7;6.03;4.93;4.91;5.74
RE2;Rennes;Ancient;Schist;75;33;58.7;5.54;4.92;5.00;5.11
RE1;Rennes;Ancient;Schist;85;22;52.1;5.21;4.92;4.54;5.08
COE1;Coetquidan;Recent;Sandstone;60;26.5;75.0;5.58;5.97;5.68;5.21
COE2;Coetquidan;Recent;Sandstone;70;25.5;58.5;5.46;5.83;5.83;4.95
COE3;Coetquidan;Recent;Sandstone;85;27.5;71.8;5.72;5.77;5.62;5.03
COE4;Coetquidan;Recent;Sandstone;85;34;71.1;5.73;6.04;5.93;4.75
COE5;Coetquidan;Recent;Sandstone;60;30.5;69.0;5.53;5.37;5.37;5.01
COE6;Coetquidan;Recent;Sandstone;70;31;70.5;5.79;6.16;5.86;4.93
